Ref,Val,Package,PosX,PosY,Rot,Side
"JP1","Jumper_2_Open","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",158.750000,-114.300000,270.000000,top
"JP2","Jumper_2_Open","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",140.970000,-114.300000,270.000000,top
